tipo,id_supabase,curso_supabase,chave_supabase,periodo_site_meses,preco_desconto_site_R$,preco_cheio_site_R$,preco_desconto_supabase_preco_com_desconto,preco_cheio_supabase,campo_grad_ou_pos_supabase,match_catalogo,status,observacoes,url_fonte
pos,151,Pós-Graduação em Engenharia da Qualidade Lean Six Sigma,Pós-Graduação em Engenharia da Qualidade Lean Six SigmaEAD,6,187,623.33,65,636,191,parcial(50%): MBA em Gestão da Qualidade,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,152,Pós-Graduação em Engenharia da Segurança do Trabalho,Pós-Graduação em Engenharia da Segurança do TrabalhoEAD,6,187,623.33,65,636,191,parcial(67%): Pós-Graduação em Segurança da Informação,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,153,Neurociências e ComportamentoEAD,Pós-Graduação em Psicologia,,,,Neurociências e Comportamento,Pós-Graduação em Psicologia,636,,sem_match_site,REGISTRO_CORROMPIDO(colunas deslocadas); NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,154,Pós-Graduação em Business Partner para a Gestão Estratégica de RH,Pós-Graduação em Business Partner para a Gestão Estratégica de RHEAD,6,187,747.5,65,636,191,parcial(50%): MBA em Gestão Empresarial,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=747.5,https://mg.sumare.edu.br/pos-graduacao/ead
pos,155,Pós-Graduação em Psicologia Positiva e Desenvolvimento do Capital Humano nas Organizações,Pós-Graduação em Psicologia Positiva e Desenvolvimento do Capital Humano nas OrganizaçõesEAD,6,187,623.33,65,636,191,parcial(50%): Pós-Graduação em Psicologia Organizacional e do Trabalho,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,156,Pós-Graduação em Gestão Estratégica de Pessoas: liderança de alta performance e coaching,Pós-Graduação em Gestão Estratégica de Pessoas: liderança de alta performance e coachingEAD,6,187,623.33,65,636,191,parcial(100%): MBA em Liderança e Gestão de Pessoas,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,157,Pós-Graduação em Gestão Fiscal e Planejamento Tributário,Pós-Graduação em Gestão Fiscal e Planejamento TributárioEAD,6,187,747.5,65,636,191,parcial(50%): MBA em Gestão Empresarial,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=747.5,https://mg.sumare.edu.br/pos-graduacao/ead
pos,158,Controller e Auditoria FinanceiraEAD,MBA Executivo em Corporate Finance,,,,Controller e Auditoria Financeira,MBA Executivo em Corporate Finance,636,,sem_match_site,REGISTRO_CORROMPIDO(colunas deslocadas); NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,159,MBA Em Controladoria e Contabilidade gerencial,MBA Em Controladoria e Contabilidade gerencialEAD,,,,65,636,191,,sem_match_site,preco_com_desconto_aparenta_coluna_errada; NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,160,MBA em Marketing e Negócios em Mídias Digitais,MBA em Marketing e Negócios em Mídias DigitaisEAD,6,187,623.33,65,636,191,parcial(50%): MBA em Negócios e Vendas,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
pos,161,Negociação e Inteligência de MercadoEAD,MBA Gestão Comercial,,,,Negociação e Inteligência de Mercado,MBA Gestão Comercial,636,,sem_match_site,REGISTRO_CORROMPIDO(colunas deslocadas); NAO_ENCONTRADO_NO_CATALOGO_OFICIAL,https://mg.sumare.edu.br/pos-graduacao/ead
pos,162,MBA Executivo em Gestão de Negócios e Estratégia Corporativa,MBA Executivo em Gestão de Negócios e Estratégia CorporativaEAD,6,187,747.5,65,636,191,parcial(50%): MBA em Gestão Empresarial,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=747.5,https://mg.sumare.edu.br/pos-graduacao/ead
pos,163,MBA em gerência de Projetos e Processos Organizacionais,MBA em gerência de Projetos e Processos OrganizacionaisEAD,6,187,623.33,65,636,191,parcial(50%): MBA em Gestão de Projeto,divergente,preco_com_desconto_aparenta_coluna_errada; desconto_db=65_extra=191_site=187; cheio_db=636_site=623.33,https://mg.sumare.edu.br/pos-graduacao/ead
