curso_id,curso_nome,modalidade,nivel,url_pagina,fonte_dados,pagina_carrossel,ordem_na_pagina,ordem_global,disciplina,texto_intro_secao
ead-mba-em-operacoes-e-logistica,MBA em Operações e Logística,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-operacoes-e-logistica,html,1,5,5,Cadeia de Valor e Custos Logísticos - 60hs,
ead-mba-em-operacoes-e-logistica,MBA em Operações e Logística,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-operacoes-e-logistica,html,1,6,6,Logistica Reversa - 60hs,
ead-projeto-desenvolvimento-de-sistema,Análise e Projeto de Sistemas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-projeto-desenvolvimento-de-sistema,html,1,1,1,Práticas Avançadas em Gestão - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-projeto-desenvolvimento-de-sistema,Análise e Projeto de Sistemas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-projeto-desenvolvimento-de-sistema,html,1,2,2,Gestão de Projetos - 60hs,
ead-projeto-desenvolvimento-de-sistema,Análise e Projeto de Sistemas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-projeto-desenvolvimento-de-sistema,html,1,3,3,Sistemas e Tecnologia da Informação - 60hs,
ead-projeto-desenvolvimento-de-sistema,Análise e Projeto de Sistemas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-projeto-desenvolvimento-de-sistema,html,1,4,4,Engenharia de Software - 60hs,
ead-projeto-desenvolvimento-de-sistema,Análise e Projeto de Sistemas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-projeto-desenvolvimento-de-sistema,html,1,5,5,Qualidade de Software - 60hs,
ead-projeto-desenvolvimento-de-sistema,Análise e Projeto de Sistemas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-projeto-desenvolvimento-de-sistema,html,1,6,6,Modelagem e Desenvolvimento de Banco de Dados - 60hs,
ead-psicologia-do-trabalho,Psicologia Organizacional e do Trabalho,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-psicologia-do-trabalho,html,1,1,1,Treinamento e Desenvolvimento no Ambiente de Trabalho - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-psicologia-do-trabalho,Psicologia Organizacional e do Trabalho,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-psicologia-do-trabalho,html,1,2,2,Diversidade Teórica em Psicologia - 60hs,
ead-psicologia-do-trabalho,Psicologia Organizacional e do Trabalho,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-psicologia-do-trabalho,html,1,3,3,Contexto do Trabalho e Psicologia Social aplicada as Organizações - 60hs,
ead-psicologia-do-trabalho,Psicologia Organizacional e do Trabalho,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-psicologia-do-trabalho,html,1,4,4,Saúde e Trabalho - 60hs,
ead-psicologia-do-trabalho,Psicologia Organizacional e do Trabalho,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-psicologia-do-trabalho,html,1,5,5,"Conflito, Cooperação e Comprometimento no Trabalho - 60hs",
